C00000059|02282017|416|2|832
C00000059|01312017|416|2|832
C00000422|02282017|818|11|9000
C00000422|02272017|882|28|24690
C00000422|02232017|417|3|1250
C00000422|02172017|800|7|5600
C00000422|02162017|189|38|7196
C00000422|02102017|920|9|8281
C00000422|02062017|41|1|41
C00000422|02032017|664|18|11958
C00000422|02012017|100|1|100
C00000729|02232017|250|1|250
C00000729|02212017|500|1|500
C00000729|02172017|625|2|1250
C00000729|02142017|50|1|50
C00000729|02102017|250|3|750
C00000729|02012017|1000|1|1000
C00000729|01312017|250|4|1000
C00000729|01302017|250|1|250
C00000729|01282017|250|1|250
C00000729|01262017|265|11|2916
C00000729|01242017|250|2|500
C00000729|01232017|1000|1|1000
C00000729|01192017|393|10|3934
C00000729|01122017|250|16|4000
C00000729|01102017|250|1|250
C00000729|01082017|250|1|250
C00000729|01042017|321|14|4500
C00000729|01012017|625|2|1250
C00000885|02282017|225|2|450
C00000885|02092017|273|110|30030
C00000901|02282017|874|12|10490
C00000901|02272017|250|3|750
C00000901|02262017|365|2|730
C00000901|02242017|475|5|2375
C00000901|02232017|738|7|5165
C00000901|02222017|2625|2|5250
C00000901|02212017|365|1|365
C00000901|02202017|250|2|500
C00000901|02192017|464|7|3250
C00000901|02182017|5000|1|5000
C00000901|02172017|130|12|1556
C00000901|02162017|1000|1|1000
C00000901|02152017|722|3|2166
C00000901|02132017|275|4|1100
C00000901|02122017|250|2|500
C00000901|02112017|250|2|500
C00000901|02102017|339|21|7125
C00000901|02092017|250|2|500
C00000901|02082017|289|45|13000
C00000901|02072017|732|58|42446
C00000901|02062017|520|19|9875
C00000901|02052017|279|13|3625
C00000901|02042017|2525|5|12625
C00000901|02032017|402|24|9651
C00000901|02022017|603|19|11455
C00000901|02012017|1778|9|16000
C00000901|01282017|583|3|1750
C00000901|01262017|250|1|250
C00000901|01232017|625|1|625
C00000901|01222017|250|2|500
C00000901|01212017|266|7|1865
C00000901|01202017|221|2|442
C00000901|01192017|250|1|250
C00000901|01182017|308|2|615
C00000901|01162017|250|2|500
C00000901|01152017|365|1|365
C00000901|01132017|1000|1|1000
C00000901|01122017|365|1|365
C00000901|01112017|250|1|250
C00000901|01092017|250|1|250
C00000901|01082017|250|3|750
C00000901|01062017|375|2|750
C00000901|01052017|1500|1|1500
C00000901|01042017|625|1|625
C00000901|01032017|288|3|865
C00000935|02282017|2142|210|449843
C00000935|02272017|1893|44|83292
C00000935|02262017|16|3|49
C00000935|02252017|33900|1|33900
C00000935|02242017|1517|40|60670
C00000935|02232017|2839|27|76650
C00000935|02222017|474|51|24151
C00000935|02212017|371|28|10386
C00000935|02202017|3|1|3
C00000935|02172017|2690|26|69927
C00000935|02162017|357|31|11063
C00000935|02152017|405|15|6075
C00000935|02142017|497|72|35785
C00000935|02132017|1168|42|49075
C00000935|02122017|150|1|150
C00000935|02102017|390|20|7809
C00000935|02092017|281|22|6179
C00000935|02082017|410|45|18470
C00000935|02072017|368|33|12136
C00000935|02062017|362|19|6881
C00000935|02052017|5000|1|5000
C00000935|02032017|407|7|2849
